,prices,locations,other
0,R$ 80.000,Campo Grande,2quartos2banheiros1vaga67m²
1,R$ 130.000,Boa Vista,"1quarto1banheiro 58,40m²"
2,R$ 130.000,Linha do Tiro,2quartos1banheiro 1vaga65m²
3,R$ 132.000R$ 630/ano,Várzea,2quartos1banheiro 1vaga50m²
4,R$ 140.000,Tejipió,2quartos1banheiro 80vagas41m²
5,R$ 145.000R$ 720/ano,Várzea,2quartos1banheiro 1vaga50m²
6,R$ 150.000,Imbiribeira,3quartos1suíte2banheiros1vaga80m²
7,R$ 150.000,Campo Grande,2quartos2banheiros1vaga74m²
8,R$ 150.000,Várzea,2quartos1banheiro 1vaga68m²
9,R$ 150.000,Areias,2quartos1suíte1banheiro 1vaga70m²
10,R$ 160.000,Derby,1quarto1banheiro 2vagas25m²
11,R$ 160.000,Boa Vista,2quartos1suíte2banheiros100m²
12,R$ 160.000,Cordeiro,2quartos2banheiros1vaga64m²
13,R$ 168.000,Soledade,1quarto1banheiro 1vaga25m²
14,R$ 170.000,Rosarinho,2quartos1banheiro 1vaga55m²
15,R$ 170.000,Cordeiro,2quartos1suíte2banheiros1vaga75m²
16,R$ 170.000,Morro da Conceição,2quartos1banheiro 1vaga52m²
17,R$ 170.000,Rosarinho,3quartos1suíte1banheiro 1vaga73m²
18,Preço de vendaSob consultaR$ 1.450/mês,Várzea,2quartos1suíte2banheiros1vaga70m²
19,R$ 174.000,Parnamirim,1quarto1banheiro 1vaga34m²
20,R$ 180.000,Aflitos,2quartos2banheiros1vaga80m²
21,R$ 180.000,Imbiribeira,3quartos1suíte1banheiro 1vaga100m²
22,R$ 180.000,Imbiribeira,3quartos1suíte1banheiro 1vaga100m²
23,R$ 180.000,Água Fria,"2quartos1suíte2banheiros1vaga45,66m²"
24,R$ 180.000,Rosarinho,1quarto1banheiro 1vaga34m²
25,R$ 182.000,Várzea,3quartos2banheiros1vaga65m²
26,R$ 186.000,Soledade,"1quarto1banheiro 1vaga28,11m²"
27,R$ 190.000,Aflitos,3quartos2banheiros95m²
28,R$ 190.000,Rosarinho,"1quarto1banheiro 1vaga33,40m²"
29,R$ 190.000,Várzea,3quartos1suíte2banheiros1vaga78m²
30,R$ 190.000,Tejipió,2quartos2banheiros1vaga56m²
31,R$ 190.000,Tamarineira,1quarto1banheiro 1vaga34m²
32,R$ 190.000Preço de locaçãoSob consulta,Iputinga,3quartos2banheiros1vaga77m²
33,R$ 190.000R$ 1.300/mês,Tamarineira,3quartos2banheiros1vaga75m²
34,R$ 195.000,Campo Grande,3quartos1suíte2banheiros1vaga78m²
35,R$ 195.000,Boa Viagem,1quarto1banheiro 1vaga30m²
36,R$ 198.990,Tamarineira,2quartos1banheiro 1vaga61m²
37,R$ 199.000,Iputinga,"1quarto1banheiro 1vaga38,82m²"
38,R$ 199.000,Tamarineira,2quartos1banheiro 1vaga61m²
39,R$ 199.000,Boa Vista,"1quarto1banheiro 1vaga39,75m²"
40,R$ 199.000,Boa Viagem,1quarto1suíte1banheiro 1vaga23m²
41,R$ 199.990,Boa Viagem,1quarto1suíte1banheiro 1vaga23m²
42,R$ 200.000,Boa Viagem,"2quartos1suíte1banheiro 1vaga52,62m²"
43,R$ 200.000,Boa Viagem,1quarto1banheiro 1vaga30m²
44,R$ 200.000,Encruzilhada,2quartos2banheiros1vaga85m²
45,R$ 200.000,Boa Vista,2quartos1suíte1banheiro 100m²
46,R$ 200.000,Cordeiro,3quartos2banheiros1vaga75m²
47,R$ 200.000,Boa Viagem,"1quarto1banheiro 27,49m²"
48,R$ 200.000,Campo Grande,1quarto1banheiro 1vaga39m²
49,R$ 200.000,Imbiribeira,2quartos2banheiros1vaga60m²
50,R$ 200.000,San Martin,4quartos2banheiros1vaga94m²
51,R$ 200.000,Aflitos,3quartos3banheiros1vaga70m²
52,R$ 200.000,Boa Viagem,"1quarto1banheiro 1vaga18,53m²"
53,R$ 200.000,Imbiribeira,2quartos1suíte1banheiro 1vaga70m²
54,R$ 200.000R$ 1.450/mês,Campo Grande,1quarto1banheiro 39m²
55,R$ 200.000R$ 1.500/ano,Casa Forte,2quartos1banheiro 1vaga60m²
56,R$ 208.990,Campo Grande,3quartos2banheiros78m²
57,R$ 209.000,Campo Grande,3quartos2banheiros78m²
58,R$ 210.000,Graças,"1quarto1banheiro 1vaga35,71m²"
59,R$ 210.000,Boa Vista,3quartos2banheiros1vaga82m²
60,R$ 214.999,Iputinga,"2quartos1suíte2banheiros1vaga42,36m²"
61,R$ 214.999,Iputinga,"2quartos1suíte2banheiros1vaga42,36m²"
62,R$ 215.000,Campo Grande,2quartos1banheiro 1vaga47m²
63,R$ 215.000,Várzea,2quartos1suíte1banheiro 1vaga53m²
64,R$ 220.000,Casa Amarela,3quartos1banheiro 1vaga78m²
65,R$ 220.000,Rosarinho,3quartos1suíte2banheiros1vaga73m²
66,R$ 220.000,Rosarinho,3quartos1suíte1banheiro 1vaga75m²
67,R$ 220.000,Encruzilhada,3quartos2banheiros1vaga80m²
68,R$ 220.000,Rosarinho,4quartos1suíte2banheiros1vaga93m²
69,R$ 220.000,Imbiribeira,3quartos1suíte1banheiro 1vaga97m²
70,R$ 220.000,Campo Grande,2quartos1suíte2banheiros1vaga55m²
71,R$ 220.000,Boa Viagem,1quarto1suíte1banheiro 1vaga18m²
72,R$ 225.000,Torre,3quartos1suíte2banheiros1vaga78m²
73,R$ 225.000,Torre,2quartos1banheiro 1vaga56m²
74,R$ 225.000R$ 1.500/mês,Boa Viagem,1quarto1banheiro 1vaga29m²
75,R$ 225.000R$ 1.500/mês,Boa Viagem,1quarto1banheiro 1vaga29m²
76,R$ 225.217,Boa Viagem,1quarto1banheiro 24m²
77,R$ 225.217,Boa Viagem,"1quarto1banheiro 1vaga24,45m²"
78,R$ 230.000,Boa Viagem,1quarto1banheiro 1vaga63m²
79,R$ 230.000,Boa Viagem,3quartos2banheiros2vagas94m²
80,R$ 230.000,Torre,"3quartos1suíte1banheiro 2vagas71,02m²"
