,prices,locations,other
0,R$ 750.000,"Recife, Boa Viagem",3 quartos | 130m² | 1 vaga
1,R$ 200.000,"Jaboatão dos Guararapes, Candeias",2 quartos | 61m² | 1 vaga
2,R$ 300.000,"Recife, Cordeiro",2 quartos | 50m² | Condomínio: R$ 1 | 1 vaga
3,R$ 128.000,"Paulista, Nossa Senhora do Ó",2 quartos | 63m² | 1 vaga
4,R$ 125.000,"Recife, Areias",2 quartos | 62m² | Condomínio: R$ 140 | 1 vaga
5,R$ 130.054,"Paulista, Nossa Senhora da Conceição",2 quartos | 53m² | 1 vaga
6,R$ 170.000,"Cabo de Santo Agostinho, Pontezinha",3 quartos | 78m² | Condomínio: R$ 0 | 1 vaga
7,R$ 778.147,"Recife, Boa Viagem",3 quartos | 93m² | 2 vagas
8,R$ 200.000,"Recife, Boa Viagem",1 quarto | 30m² | 1 vaga
9,R$ 1.028.735,"Recife, Casa Forte",4 quartos | 165m² | 3 vagas
10,R$ 155.000,"Jaboatão dos Guararapes, Sucupira",2 quartos | 48m² | 1 vaga
11,R$ 1.400.000,"Recife, Ipsep",4 quartos | 207m² | 3 vagas
12,R$ 414.900,"Recife, Casa Forte",3 quartos | 66m² | 1 vaga
13,R$ 122.000,"Jaboatão dos Guararapes, Dois Carneiros",2 quartos | 46m² | Condomínio: R$ 1 | 1 vaga
14,R$ 130.094,"Paulista, Jaguaribe",2 quartos | 53m² | 1 vaga
15,R$ 290.000,"Recife, Torre",2 quartos | 51m² | 1 vaga
16,R$ 615.000,"Recife, Boa Viagem",3 quartos | 99m² | 2 vagas
17,R$ 250.000,"Recife, Várzea",2 quartos | 47m² | 1 vaga
18,R$ 349.015,"Recife, Boa Viagem",2 quartos | 50m² | 1 vaga
19,R$ 245.000,"Recife, Torre",1 quarto | 32m² | 1 vaga
20,R$ 315.000,"Jaboatão dos Guararapes, Barra de Jangada",3 quartos | 64m² | 1 vaga
21,R$ 452.000,"Recife, Casa Amarela",3 quartos | 62m² | 1 vaga
22,R$ 360.000,"Recife, Casa Amarela",3 quartos | 66m² | 1 vaga
23,R$ 210.000,"Jaboatão dos Guararapes, Candeias",4 quartos | 129m² | Condomínio: R$ 130 | 1 vaga
24,R$ 449.000,"Recife, Madalena",3 quartos | 67m² | 2 vagas
25,R$ 310.000,"Recife, Boa Viagem",2 quartos | 50m² | Condomínio: R$ 560 | 1 vaga
26,R$ 124.501,"São Lourenço da Mata, Centro",2 quartos | 49m² | 1 vaga
27,R$ 375.000,"Recife, Casa Amarela",3 quartos | 69m² | Condomínio: R$ 560 | 1 vaga
28,R$ 115.000,"Paulista, Jaguarana",2 quartos | 49m² | Condomínio: R$ 0 | 1 vaga
29,R$ 124.502,"São Lourenço da Mata, Penedo",2 quartos | 49m² | Condomínio: R$ 0 | 1 vaga
30,R$ 379.900,"Jaboatão dos Guararapes, Piedade",2 quartos | 55m² | 1 vaga
31,R$ 280.000,"Recife, Caxangá",3 quartos | 64m² | Condomínio: R$ 0 | 1 vaga
32,R$ 581.600,"Ipojuca, Nossa Senhora do Ó",3 quartos | 81m² | Condomínio: R$ 0 | 1 vaga
33,R$ 200.000,"Paulista, Nossa Senhora do Ó",2 quartos | 84m² | Condomínio: R$ 0 | 1 vaga
34,R$ 320.000,"Recife, Casa Amarela",3 quartos | 75m² | Condomínio: R$ 550 | 1 vaga
35,R$ 199.999,"Recife, Boa Viagem",1 quarto | 30m² | Condomínio: R$ 413 | 1 vaga
36,R$ 279.492,"Recife, Pina",1 quarto | 36m²
37,R$ 1.200.000,"Jaboatão dos Guararapes, Piedade",4 quartos | 218m² | 2 vagas
38,R$ 120.000,"Paulista, Jaguarana",0m²
