,Localização,Preço,Tamanho (m2),Número de quartos,Número de banheiros,vagas para estacionar
0,"Rua Eurico de Souza Leão, Cordeiro","
    Sob consulta
  ",        55 - 73 m²,        1 - 3 ,        1 ,        1 - 2 
1,"Rua Marquês de Tamandaré, Poço","
    Sob consulta
  ",        111 - 209 m²,        3 ,        3 ,        2 
2,"Rua General Polidoro, Várzea","
    R$ 262.900
  ",        69 m²,        2 ,        1 ,        1 
3,"Avenida Boa Viagem, Recife","
    R$ 1.700.000
  ",        230 m²,        4 ,        5 ,        2 
4,"Avenida Santos Dumont, Aflitos","
    R$ 450.000
  
      condomínio
      R$ 460
      IPTU
      R$ 1.600",        54 m²,        2 ,        2 ,        1 
5,"Rua Alameda das Hortências, Imbiribeira","
    R$ 2.500.000
  
      condomínio
      R$ 1.600",        204 m²,        4 ,        5 ,        3 
6,"Rua Cônego Romeu, Boa Viagem","
    R$ 499.000
  
      condomínio
      R$ 650
      IPTU
      R$ 1.500",        70 m²,        2 ,        2 ,        1 
7,"Rua Professor Augusto Lins e Silva, Boa Viagem","
    R$ 350.000
  
      condomínio
      R$ 600
      IPTU
      R$ 1.200",        74 m²,        3 ,        3 ,        1 
8,"Rua Dhália, Boa Viagem","
    R$ 480.000
  
      condomínio
      R$ 445
      IPTU
      R$ 180",        89 m²,        3 ,        3 ,        2 
9,"Rua Larga do Feitosa, Encruzilhada","
    R$ 280.000
  
      condomínio
      R$ 400",        110 m²,        4 ,        3 ,        2 
10,"Rua Guilherme Pinto, Graças","
    R$ 750.000
  
      condomínio
      R$ 1.760",        186 m²,        4 ,        4 ,        3 
11,"Rua Inácio Leopoldo, Iputinga","
    R$ 320.000
  
      condomínio
      R$ 340
      IPTU
      R$ 1.300",        51 m²,        2 ,        2 ,        1 
12,"Rua Setúbal, Boa Viagem","
    R$ 245.000
  
      condomínio
      R$ 450",        66 m²,        3 ,        2 ,        1 
13,"Avenida Conselheiro Rosa e Silva, Espinheiro","
    R$ 4.500
  ",        600 m²,        3 ,        1 ,        5 
14,"Rua Aquidabã, Boa Viagem","
    R$ 680.000
  
      condomínio
      R$ 780
      IPTU
      R$ 2.922",        103 m²,        4 ,        3 ,        2 
15,"Rua Serinhaém, Boa Viagem","
    R$ 450.000
  ",        180 m²,        4 ,        2 ,        2 
16,"Rua General Abreu e Lima, Tamarineira","
    R$ 250.000
  
      condomínio
      R$ 700",        110 m²,        3 ,        2 ,        1 
17,"Rua Frígio Lima, Espinheiro","
    R$ 317.500
  
      condomínio
      R$ 400",        55 m²,        2 ,        2 ,        1 
18,"Rua Almir Azevedo, Várzea","
    R$ 585.000
  
      condomínio
      R$ 850
      IPTU
      R$ 255",        104 m²,        3 ,        3 ,        2 
19,"Rua Mauro Borrione, Ilha do Retiro","
    R$ 450.000
  
      condomínio
      R$ 600",        87 m²,        3 ,        3 ,        2 
20,"Rua Padre Leandro Camelo, Boa Viagem","
    R$ 760.000
  
      condomínio
      R$ 1.000",        142 m²,        3 ,        4 ,        2 
21,"Rua Dom Pedro Henrique, Santo Amaro","
    R$ 530.000
  
      condomínio
      R$ 645
      IPTU
      R$ 256",        82 m²,        3 ,        2 ,        2 
22,"Avenida São Paulo, Jardim São Paulo","
    R$ 700.000
  
      condomínio
      R$ 1.100
      IPTU
      R$ 3.500",        145 m²,        4 ,        4 ,        2 
23,"Avenida Hélio Falcão, Boa Viagem","
    R$ 620.000
  
      condomínio
      R$ 550",        86 m²,        3 ,        3 ,        2 
24,"Rua Paula Batista, Casa Amarela","
    Sob consulta
  ",        55 - 73 m²,        1 - 3 ,        1 ,        1 - 2 
25,"Rua Antônio de Castro, Casa Amarela","
    Sob consulta
  ",        111 - 209 m²,        3 ,        3 ,        2 
26,"Rua Amélia, Graças","
    R$ 262.900
  ",        69 m²,        2 ,        1 ,        1 
27,"Rua Visconde de Jequitinhonha, Recife","
    R$ 1.700.000
  ",        230 m²,        4 ,        5 ,        2 
28,"Rua Francisco da Cunha, Boa Viagem","
    R$ 450.000
  
      condomínio
      R$ 460
      IPTU
      R$ 1.600",        54 m²,        2 ,        2 ,        1 
29,"Rua Ministro Nelson Hungria, Boa Viagem","
    R$ 2.500.000
  
      condomínio
      R$ 1.600",        204 m²,        4 ,        5 ,        3 
30,"Rua André Gide, Encruzilhada","
    R$ 499.000
  
      condomínio
      R$ 650
      IPTU
      R$ 1.500",        70 m²,        2 ,        2 ,        1 
31,"Rua Doutor João Coimbra, Recife","
    R$ 350.000
  
      condomínio
      R$ 600
      IPTU
      R$ 1.200",        74 m²,        3 ,        3 ,        1 
32,"Rua Antônio Vieira, Madalena","
    R$ 480.000
  
      condomínio
      R$ 445
      IPTU
      R$ 180",        89 m²,        3 ,        3 ,        2 
33,"Rua Xavier Marques, Graças","
    R$ 280.000
  
      condomínio
      R$ 400",        110 m²,        4 ,        3 ,        2 
34,"Rua Antônio Falcão, Boa Viagem","
    R$ 750.000
  
      condomínio
      R$ 1.760",        186 m²,        4 ,        4 ,        3 
35,"Rua Engenheiro Leonardo Arcoverde, Madalena","
    R$ 320.000
  
      condomínio
      R$ 340
      IPTU
      R$ 1.300",        51 m²,        2 ,        2 ,        1 
36,"Rua da Baixa Verde, Derby","
    R$ 245.000
  
      condomínio
      R$ 450",        66 m²,        3 ,        2 ,        1 
37,"Rua Cândido Lacerda, Torreão","
    R$ 4.500
  ",        600 m²,        3 ,        1 ,        5 
38,"Rua Pedro Américo, Bongi","
    R$ 680.000
  
      condomínio
      R$ 780
      IPTU
      R$ 2.922",        103 m²,        4 ,        3 ,        2 
39,"Rua Ricardo Salazar, Prado","
    R$ 450.000
  ",        180 m²,        4 ,        2 ,        2 
40,"Rua Dois de Julho, Boa Vista","
    R$ 250.000
  
      condomínio
      R$ 700",        110 m²,        3 ,        2 ,        1 
41,"Rua Professor Souto Maior, Casa Amarela","
    R$ 317.500
  
      condomínio
      R$ 400",        55 m²,        2 ,        2 ,        1 
42,"Rua do Hospício, Boa Vista","
    R$ 585.000
  
      condomínio
      R$ 850
      IPTU
      R$ 255",        104 m²,        3 ,        3 ,        2 
43,"Rua Itapemirim, Bongi","
    R$ 450.000
  
      condomínio
      R$ 600",        87 m²,        3 ,        3 ,        2 
44,"Rua Frei Jaboatão, Torre","
    R$ 760.000
  
      condomínio
      R$ 1.000",        142 m²,        3 ,        4 ,        2 
45,"Rua Demócrito de Souza Filho, Madalena","
    R$ 530.000
  
      condomínio
      R$ 645
      IPTU
      R$ 256",        82 m²,        3 ,        2 ,        2 
46,"Rua Antônio Camilo Dias, Madalena","
    R$ 700.000
  
      condomínio
      R$ 1.100
      IPTU
      R$ 3.500",        145 m²,        4 ,        4 ,        2 
47,"Rua Sá e Souza, Boa Viagem","
    R$ 620.000
  
      condomínio
      R$ 550",        86 m²,        3 ,        3 ,        2 
48,"Rua Desembargador Motta Júnior, Casa Amarela","
    Sob consulta
  ",        55 - 73 m²,        1 - 3 ,        1 ,        1 - 2 
49,"Rua Guimarães Peixoto, Tamarineira","
    Sob consulta
  ",        111 - 209 m²,        3 ,        3 ,        2 
50,"Avenida Conselheiro Rosa e Silva, Graças","
    R$ 262.900
  ",        69 m²,        2 ,        1 ,        1 
51,"Rua Ministro Nelson Hungria, Boa Viagem","
    R$ 1.700.000
  ",        230 m²,        4 ,        5 ,        2 
52,"Rua Engenheiro Sampaio, Rosarinho","
    R$ 450.000
  
      condomínio
      R$ 460
      IPTU
      R$ 1.600",        54 m²,        2 ,        2 ,        1 
53,"Rua das Creoulas, Graças","
    R$ 2.500.000
  
      condomínio
      R$ 1.600",        204 m²,        4 ,        5 ,        3 
54,"Rua Dois de Julho, Santo Amaro","
    R$ 499.000
  
      condomínio
      R$ 650
      IPTU
      R$ 1.500",        70 m²,        2 ,        2 ,        1 
55,"Rua Antônio Falcão, Boa Viagem","
    R$ 350.000
  
      condomínio
      R$ 600
      IPTU
      R$ 1.200",        74 m²,        3 ,        3 ,        1 
56,"Rua Vitoriano Palhares, Torre","
    R$ 480.000
  
      condomínio
      R$ 445
      IPTU
      R$ 180",        89 m²,        3 ,        3 ,        2 
57,"Rua Capitão Benedito Bragança, Guabiraba","
    R$ 280.000
  
      condomínio
      R$ 400",        110 m²,        4 ,        3 ,        2 
